ORDER #,QUANTITY_ORDERED,PRICE,DISCOUNT,ORDER_NUMBER,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCT,?CUSTOMER NAME,PHONE,ADDRESS,CITY_COUNTRY,STATE,DEAL_SIZE,LAST NAME CONTACT,FIRST NAME CONTACT
10107,30,957,19,2,Shipped,1,2,2003?,Motorcycles,Land of Toys Inc,2125557818,,"NYC, USA",NY,Small,Yu,Kwai
10121,34,8135,13,5,Shipped,2,5,2003?,Motorcycles,Reims Collectables,26471555,,"Reims, France",,Small,Henriot,Paul
10134,41,9474,No discount,2,Shipped,3,7,2003?,Motorcycles,Lyon Souveniers,+33 1 46 62 7555,,"Paris, France",,Medium,Da Cunha,Daniel
10145,45,8326,No discount,6,Shipped,3,8,2003-5,Motorcycles,Toys4GrownUpscom,6265557265,,"Pasadena, USA",CA,Medium,Young,Julie
10159,49,100,No discount,14,Shipped,4,10,2003,Motorcycles,Corporate Gift Ideas Co,6505551386,,"San Francisco, USA",CA,Medium,Brown,Julie
10168,36,9666,,1,Shipped,4,10,2003-2010,Motorcycles,Technics Stores Inc,6505556809,,"Burlingame, USA",CA,Medium,Hirano,Juri
10180,29,8613,,9,Shipped,4,11,2003,Motorcycles,Daedalus Designs Imports,20161555,,"Lille, France",,Small,Rance,Martine
10188,48,100,,1,Shipped,4,11,2003,Motorcycles,Herkku Gifts,+47 2267 3215,,"Bergen, Norway",,Medium,Oeztan,Veysel
10201,22,9857,,2,Shipped,4,12,2003,Motorcycles,Mini Wheels Co,6505555787,,"San Francisco, USA",CA,Small,Murphy,Julie
10211,41,100,,14,Shipped,1,1,2004,Motorcycles,Auto Canal Petit,1 47556555,,"Paris, France",,Medium,Perrier,Dominique
10223,37,100,,1,Shipped,1,2,2004,Motorcycles,Australian Collectors Co,03 9520 4555,Level 3,"Melbourne, Australia",Victoria,Medium,Ferguson,Peter
10237,23,100,No discount,7,Shipped,2,4,2004,Motorcycles,Vitachrome Inc,2125551500,Suite 101,"NYC, USA",NY,Small,Frick,Michael
10251,28,100,21,2,Shipped,2,5,2004?,Motorcycles,Tekni Collectables Inc,2015559350,,"Newark, USA",NJ,Medium,Brown,William
10263,34,100,25,2,Shipped,2,6,2004,Motorcycles,Gift Depot Inc,2035552570,,"Bridgewater, USA",CT,Medium,King,Julie
10275,45,9283,18,1,Shipped,3,7,2004,Motorcycles,La Rochelle Gifts,40678555,,"Nantes, France",,Medium,Labrune,Janine
10285,36,100,14,6,Shipped,3,8,2004,Motorcycles,"Marta""s Replicas Co",6175558555,,"Cambridge, USA",MA,Medium,Hernandez,Marta
10299,23,100,30,9,Shipped,3,9,2004,Motorcycles,Toys of Finland Co,90224 8555,,"Helsinki, Finland",,Small,Karttunen,Matti
10309,41,100,21,5,Shipped,4,10,2004,Motorcycles,Baane Mini Imports,0798 9555,,"Stavern, Norway",,Medium,Bergulfsen,Jonas
10318,46,9474,28,1,Shipped,4,11,2004,Motorcycles,Diecast Classics Inc,2155551555,,"Allentown, USA",PA,Medium,Yu,Kyung
10329,42,100,29,1,Shipped,4,11,2004,Motorcycles,Land of Toys Inc,2125557818,,"NYC, USA",NY,Medium,Yu,Kwai
10341,41,100,10,9,Shipped,4,11,2004,Motorcycles,Salzburg Collectables,65629555,,"Salzburg, Austria",,Large,Pipps,Georg
10361,20,7255,27,13,Shipped,4,12,2004,Motorcycles,Souveniers And Things Co,+61 2 9495 8555,Level 6,"Chatswood, Australia",NSW,Small,Huxley,Adrian
10375,21,3491,24,12,Shipped,1,2,2005,Motorcycles,La Rochelle Gifts,40678555,,"Nantes, France",,Small,Labrune,Janine
10388,42,7636,11,4,Shipped,1,3,2005,Motorcycles,FunGiftIdeascom,5085552555,,"New Bedford, USA",MA,Medium,Benitez,Violeta
10403,24,100,21,7,Shipped,2,4,2005,Motorcycles,UK Collectables Ltd,171 5552282,,"Liverpool, UK",,Small,Devon,Elizabeth
10417,66,100,21,2,Disputed,2,5,2005,Motorcycles,Euro Shopping Channel,91 555 94 44,,"Madrid, Spain",,Large,Freyre,Diego
10103,26,100,19,11,Shipped,1,1,2003,Classic Cars,Baane Mini Imports,0798 9555,,"Stavern, Norway",,Medium,Bergulfsen,Jonas
10112,29,100,27,1,Shipped,1,3,2003,Classic Cars,Volvo Model Replicas Co,092112 3555,,"Lule, Sweden",,Large,Berglund,Christina
10126,38,100,15,11,Shipped,2,5,2003,Classic Cars,Corrida Auto Replicas Ltd,91 555 22 82,,"Madrid, Spain",,Large,Sommer,Martn
10140,37,100,13,11,Shipped,3,7,2003,Classic Cars,Technics Stores Inc,6505556809,,"Burlingame, USA",CA,Large,Hirano,Juri
10150,45,100,5,8,Shipped,3,9,2003,Classic Cars,Dragon Souveniers Ltd,+65 221 7555,,"Singapore, Singapore",,Large,Natividad,Eric
10163,21,100,10,1,Shipped,4,10,2003,Classic Cars,Classic Legends Inc,2125558493,Suite 750,"NYC, USA",NY,Medium,Hernandez,Maria
10174,34,100,30,4,Shipped,4,11,2003,Classic Cars,Australian Gift Network Co,61738446555,,"South Brisbane, Australia",Queensland,Large,Calaghan,Tony
10183,23,100,29,8,Shipped,4,11,2003,Classic Cars,Classic Gift Ideas Inc,2155554695,,"Philadelphia, USA",PA,Medium,Cervantes,Francisca
10194,42,100,22,11,Shipped,4,11,2003,Classic Cars,Saveley & Henriot Co,78325555,,"Lyon, France",,Large,Saveley,Mary
10206,47,100,8,6,Shipped,4,12,2003,Classic Cars,Canadian Gift Exchange Network,604 5553392,,"Vancouver, Canada",BC,Large,Tannamuri,Yoshi
10215,35,100,25,3,Shipped,1,1,2004,Classic Cars,West Coast Collectables Co,3105553722,,"Burbank, USA",CA,Medium,Thompson,Steve
10228,29,100,17,2,Shipped,1,3,2004?,Classic Cars,Cambridge Collectables Co,6175555555,,"Cambridge, USA",MA,Medium,Tseng,Kyung
10245,34,100,27,9,Shipped,2,5,2004,Classic Cars,Super Scale Inc,2035559545,,"New Haven, USA",CT,Medium,Murphy,Leslie
10258,32,100,24,6,Shipped,2,6,2004,Classic Cars,Tokyo Collectables Ltd,+81 3 3584 0555,,"Minatoku, Japan",Tokyo,Large,Shimamura,Akiko
